,id,url,primaryTitle,originalTitle,type,description,primaryImage,trailer,contentRating,startYear,endYear,releaseDate,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,genres,isAdult,runtimeMinutes,averageRating,numVotes,metascore
0,tt1213644,https://www.imdb.com/title/tt1213644/,Disaster Movie,Disaster Movie,movie,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",https://m.media-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_.jpg,https://www.youtube.com/watch?v=tihG_2BSUqg,PG-13,2008,,2008-08-29,"['Disaster', 'Parody', 'Raunchy Comedy', 'Superhero', 'Comedy', 'Sci-Fi']",['US'],,['en'],"['Albuquerque, New Mexico, USA']","[{'id': 'co0006881', 'name': 'Lionsgate'}, {'id': 'co0209305', 'name': 'Grosvenor Park Media'}, {'id': 'co0261040', 'name': '3 in the Box'}]",20000000.0,34816824.0,"['Comedy', 'Sci-Fi']",False,87,1.9,96271,15.0
1,tt0060666,https://www.imdb.com/title/tt0060666/,Manos: The Hands of Fate,Manos: The Hands of Fate,movie,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",https://m.media-amazon.com/images/M/MV5BNTA3NzY4NDUtZTg1Mi00ZjE2LTg2ZWQtNTNkNzc4ODM1NjIxXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=sF03ZFt8t8w,Not Rated,1966,,1966-11-15,"['B-Horror', 'Folk Horror', 'Supernatural Horror', 'Horror']",['US'],,['en'],"['2310 Scenic Dr., El Paso, Texas, USA']","[{'id': 'co0210744', 'name': 'Sun City Films'}, {'id': 'co0210757', 'name': 'Norm-Iris'}]",19000.0,,['Horror'],False,70,1.7,38068,
2,tt1316037,https://www.imdb.com/title/tt1316037/,Birdemic: Shock and Terror,Birdemic: Shock and Terror,movie,"A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?",https://m.media-amazon.com/images/M/MV5BOTcxODAwMDYwNV5BMl5BanBnXkFtZTcwNzQ3MjQzMg@@._V1_.jpg,https://www.youtube.com/watch?v=jE5dJDgZ644,Not Rated,2010,,2010-02-27,"['B-Horror', 'Horror', 'Thriller']",['US'],['http://www.BIRDEMIC.com/'],['en'],"[""Cameron's Restaurant and Inn - 1410 Cabrillo Highway South, Half Moon Bay, California, USA""]","[{'id': 'co0035058', 'name': 'Expedition Films'}, {'id': 'co0119376', 'name': 'Moviehead Pictures'}]",10000.0,,"['Horror', 'Thriller']",False,105,1.7,26229,
3,tt0270846,https://www.imdb.com/title/tt0270846/,Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,movie,A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.,https://m.media-amazon.com/images/M/MV5BNjY4NjM3MjQ2OF5BMl5BanBnXkFtZTcwOTc3NzYyMQ@@._V1_.jpg,https://www.youtube.com/watch?v=hyJuSjpoMfg,PG,2004,,2004-08-27,"['Comedy', 'Family', 'Sci-Fi']","['DE', 'GB', 'US', 'CA']",['http://www.sonypictures.com/movies/superbabiesbabygeniuses2/index.html'],['en'],"['Vancouver, British Columbia, Canada']","[{'id': 'co0063447', 'name': 'ApolloMedia Distribution'}, {'id': 'co0002667', 'name': 'Crystal Sky Worldwide'}, {'id': 'co0104236', 'name': 'Hador BG2 Productions Ltd.'}]",20000000.0,9448644.0,"['Comedy', 'Family', 'Sci-Fi']",False,88,1.5,31980,9.0
4,tt4009460,https://www.imdb.com/title/tt4009460/,Kirk Cameron's Saving Christmas,Saving Christmas,movie,"His annual Christmas party faltering thanks to his cynical brother-in-law, former Growing Pains star Kirk Cameron attempts to save the day by showing him that Jesus Christ remains a crucial component of the over-commercialized holiday..",https://m.media-amazon.com/images/M/MV5BMTc3MTc3Njc5MV5BMl5BanBnXkFtZTgwNzU3NDE4MjE@._V1_.jpg,https://www.youtube.com/watch?v=z5-yA66kaVc,PG,2014,,2014-11-14,"['Comedy', 'Family', 'Holiday']",['US'],['http://savingchristmas.com/'],['en'],"['Los Angeles, California, USA']","[{'id': 'co0438574', 'name': 'Camfam Studios'}, {'id': 'co0252353', 'name': 'Liberty University'}, {'id': 'co0248927', 'name': 'Provident Films'}]",500000.0,2783970.0,"['Comedy', 'Family']",False,79,1.3,17118,18.0
5,tt0804492,https://www.imdb.com/title/tt0804492/,The Hottie & the Nottie,The Hottie & the Nottie,movie,A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.,https://m.media-amazon.com/images/M/MV5BMTA2NDc1ODUxNDZeQTJeQWpwZ15BbWU3MDQ1MjM1NTE@._V1_.jpg,https://www.youtube.com/watch?v=BH-P8J8tDTE,PG-13,2008,,2008-02-21,"['Comedy', 'Romance']",['US'],"['https://www.okey.gen.tr', 'https://prefabrikhazirev.com']",['en'],"['California, USA']","[{'id': 'co0147949', 'name': 'Purple Pictures'}, {'id': 'co0538130', 'name': 'Adrenalina Films'}, {'id': 'co0538131', 'name': 'Nevinny / Ramer Productions'}]",,1596232.0,"['Comedy', 'Romance']",False,91,2.0,39422,7.0
6,tt0317676,https://www.imdb.com/title/tt0317676/,House of the Dead,House of the Dead,movie,"A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.",https://m.media-amazon.com/images/M/MV5BNTE0MGQ0YjQtZTVmYy00OGY4LTg0NTQtMDgwYzNjODMzMzA1XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=htx3igt0ksk,R,2003,,2003-10-10,"['Zombie Horror', 'Action', 'Adventure', 'Horror']","['DE', 'CA', 'US']",['https://mt2.org/uyeler/house-of-the-dead.15098/'],['en'],"['British Columbia, Canada']","[{'id': 'co0021154', 'name': 'Boll Kino Beteiligungs GmbH & Co. KG'}, {'id': 'co0062103', 'name': 'Mindfire Entertainment'}, {'id': 'co0065717', 'name': 'Brightlight Pictures'}]",12000000.0,13818181.0,"['Action', 'Adventure', 'Horror']",False,90,2.1,39251,15.0
7,tt0362165,https://www.imdb.com/title/tt0362165/,Son of the Mask,Son of the Mask,movie,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",https://m.media-amazon.com/images/M/MV5BMTIxNzA5NzIzOV5BMl5BanBnXkFtZTcwOTc5NzcyMQ@@._V1_.jpg,https://www.youtube.com/watch?v=FKwtGHbpVDU,PG,2005,,2005-02-18,"['Slapstick', 'Comedy', 'Family', 'Fantasy']","['US', 'DE', 'AU', 'FR', 'PK']",,['en'],"['Burwood, Sydney, New South Wales, Australia']","[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0023815', 'name': 'Radar Pictures'}, {'id': 'co0020061', 'name': 'Dark Horse Entertainment'}]",84000000.0,59981548.0,"['Comedy', 'Family', 'Fantasy']",False,94,2.3,60846,20.0
8,tt10888594,https://www.imdb.com/title/tt10888594/,Radhe,Radhe,movie,"An honest cop is determined to bring down a corrupt drug mafia, who targets youth to drive towards drug addiction.",https://m.media-amazon.com/images/M/MV5BNTI2M2M1OGEtY2E0ZC00ZDVmLTgyMGQtYzc0M2E5MGIwZDdhXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=n5MVzhwupBY,TV-MA,2021,,2021-05-13,"['Action', 'Thriller']",['IN'],"['https://www.facebook.com/Filmydo', 'https://www.instagram.com/vikramadityablog/']",['hi'],,"[{'id': 'co0142553', 'name': 'Sohail Khan Production'}, {'id': 'co0218103', 'name': 'Reel Life Production'}, {'id': 'co0541353', 'name': 'Salman Khan Films'}]",,1900312.0,"['Action', 'Thriller']",False,109,1.8,180575,
9,tt0799949,https://www.imdb.com/title/tt0799949/,Epic Movie,Epic Movie,movie,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",https://m.media-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_.jpg,https://www.youtube.com/watch?v=1ltiqNTYZbA,PG-13,2007,,2007-01-26,"['Adventure Epic', 'Parody', 'Slapstick', 'Adventure', 'Comedy', 'Fantasy']",['US'],,['en'],"['Los Angeles, California, USA']","[{'id': 'co0007127', 'name': 'New Regency Productions'}, {'id': 'co0007127', 'name': 'New Regency Productions'}, {'id': 'co0166723', 'name': 'Paul Schiff Productions'}]",20000000.0,87238158.0,"['Adventure', 'Comedy', 'Fantasy']",False,86,2.4,111361,17.0
10,tt0417056,https://www.imdb.com/title/tt0417056/,Pledge This!,Pledge This!,movie,"At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.",https://m.media-amazon.com/images/M/MV5BMTFkNzQwNWUtYmYwMy00YzQ4LThiZGEtODI3NTk1MzUxOTM2XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=J5non3F9E6c,R,2006,,2007-02-08,['Comedy'],"['US', 'MX']",,['en'],"['Miami, Florida, USA']","[{'id': 'co0153527', 'name': 'Pledge This Holdings'}, {'id': 'co0102282', 'name': 'National Lampoon'}, {'id': 'co0172788', 'name': 'Paris Hilton Entertainment'}]",8300000.0,1751490.0,['Comedy'],False,91,1.7,19078,
11,tt0185183,https://www.imdb.com/title/tt0185183/,Battlefield Earth,Battlefield Earth,movie,"It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",https://m.media-amazon.com/images/M/MV5BODJiODc1NjQtZmRhZS00ZTlmLTlmNTItMmZiZjcxMmU4ZDI2XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=7VbfuehRjpw,PG-13,2000,,2000-05-12,"['Action', 'Adventure', 'Sci-Fi']","['US', 'CA']","['http://www.battlefieldearth.com/', 'http://www.battlefieldearth.net/']",['en'],"['Saint-David-de-Falardeau, Québec, Canada']","[{'id': 'co0033472', 'name': 'Morgan Creek Entertainment'}, {'id': 'co0043393', 'name': 'Franchise Pictures'}, {'id': 'co0073902', 'name': 'JTP Films'}]",73000000.0,29725663.0,"['Action', 'Adventure', 'Sci-Fi']",False,117,2.5,84481,9.0
